YEAR,PROVINCE,DISTRIC,SEX,VALUE,UNIT,SOURCE
2564,กาฬสินธุ์,รวม,หญิง,493582.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สกลนคร,รวม,หญิง,576922.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครพนม,รวม,หญิง,359944.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,มุกดาหาร,รวม,หญิง,175851.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครศรีธรรมราช,รวม,หญิง,784873.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กระบี่,รวม,หญิง,241259.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พังงา,รวม,หญิง,134231.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ภูเก็ต,รวม,หญิง,220911.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุราษฎร์ธานี,รวม,หญิง,545115.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ระนอง,รวม,หญิง,96437.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชุมพร,รวม,หญิง,258074.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สงขลา,รวม,หญิง,734280.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สตูล,รวม,หญิง,163195.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ตรัง,รวม,หญิง,327095.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พัทลุง,รวม,หญิง,268116.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปัตตานี,รวม,หญิง,369233.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ยะลา,รวม,หญิง,272407.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นราธิวาส,รวม,หญิง,409159.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตพระนคร,ชาย,20753.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตดุสิต,ชาย,43840.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตหนองจอก,ชาย,86985.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตบางรัก,ชาย,21172.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,เขตบางเขน,ชาย,87386.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
